"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","City__c","External_ID__c"
"a00oB000000mSJlQAM","005oB000000huN7QAI","0","North Beach","2026-02-09 21:41:48","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSJlQAM"
"a00oB000000mSMzQAM","005oB000000huN7QAI","0","Mission District","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSMzQAM"
"a00oB000000mSN0QAM","005oB000000huN7QAI","0","SoMa (South of Market)","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSN0QAM"
"a00oB000000mSN1QAM","005oB000000huN7QAI","0","Marina District","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSN1QAM"
"a00oB000000mSN2QAM","005oB000000huN7QAI","0","Nob Hill","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSN2QAM"
"a00oB000000mSN3QAM","005oB000000huN7QAI","0","Russian Hill","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSN3QAM"
"a00oB000000mSN4QAM","005oB000000huN7QAI","0","Pacific Heights","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSN4QAM"
"a00oB000000mSN5QAM","005oB000000huN7QAI","0","Hayes Valley","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSN5QAM"
"a00oB000000mSN6QAM","005oB000000huN7QAI","0","Castro District","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSN6QAM"
"a00oB000000mSN7QAM","005oB000000huN7QAI","0","North Beach","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSN7QAM"
"a00oB000000mSN8QAM","005oB000000huN7QAI","0","Haight-Ashbury","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSN8QAM"
"a00oB000000mSN9QAM","005oB000000huN7QAI","0","Richmond District","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSN9QAM"
"a00oB000000mSNAQA2","005oB000000huN7QAI","0","Sunset District","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSNAQA2"
"a00oB000000mSNBQA2","005oB000000huN7QAI","0","Potrero Hill","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSNBQA2"
"a00oB000000mSNCQA2","005oB000000huN7QAI","0","Dogpatch","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSNCQA2"
"a00oB000000mSNDQA2","005oB000000huN7QAI","0","Financial District","2026-02-09 21:46:38","005oB000000huN7QAI","2026-02-20 17:07:17","005oB000000huN7QAI","2026-02-20 17:07:17","San Francisco","a00oB000000mSNDQA2"
